Employee Code,Emp_Name,In_Log_Date,Log_Day,Punch_In_Time,Punch_Out_Time,Work Hours,Status,Total_Days,Working_Days
QSPLE460, JackPeter,01-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,02-06-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,03-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,04-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,05-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,06-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,07-06-2026,Wednesday,09:00:00,18:00:00,9,0,31,31
QSPLE460, JackPeter,08-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,09-06-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,10-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,11-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,12-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,13-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,14-06-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,15-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,16-06-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,17-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,18-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,19-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,20-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,21-06-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,22-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,23-06-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,24-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,25-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,26-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,27-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,28-06-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,29-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE460, JackPeter,30-06-2026,Friday,09:00:00,18:00:00,9,1,31,31
